sm268,George Bancroft,1882
sm269,Donatas Banionis,
sm270,Alex Bank,
sm271,Tallulah Bankhead,1902
sm272,Aaron Banks,
sm273,Leslie Banks,1890
sm274,Vilma Banky,1902
sm275,Ian Bannen,1928
sm276,John Banner,1910
sm277,Theda Bara,1890
sm278,Olga Baraclanova,
sm279,Christine Baranski,
sm280,Vanna Barba,1967
sm281,George Barbier,1865
sm282,Joyce Barbour,
sm283,Brigitte Bardot,1933
sm284,Mijanou Bardot,
sm285,Sonny Barger,
sm286,Lynn Bari,1915
sm287,Norah Baring,1907
sm288,Erik Barker,1912
sm289,Ronnie Barker,1929
sm290,Lex Barker,
sm291,Marcie Barkin,
sm292,Mikhail Barishnikov,
sm293,Binnie Barnes,1905
sm294,Jake Barnes,
sm295,Joanna Barnes,1934
sm296,Julian Barnes,
sm297,Charlie Barnett,
sm298,Nella Barnier,
sm299,Sandy Baron,
sm300,Pierre Barouh,
sm301,Maria Barranco,
sm302,JeanLouis Barrault,1910
sm303,MarieChristine Barrault,1944
sm304,Edith Barrett,1907
sm305,Judith Barrett,1914
sm306,Barbara Barrie,
sm307,Mona Barrie,1909
sm308,Wendy Barrie,1912
sm309,Edgar Barrier,1906
sm310,Maurice Barrier,
sm311,George Barris,
sm312,Gene Barry,1921
sm313,Joan Barry,1903
sm314,Diana Barrymore,1921
sm315,Ethel Barrymore,1879
sm316,John Barrymore,1882
sm317,John Barrymore jr.,1932
sm318,John Barrymore III,
sm319,Lionel Barrymore,1878
sm320,Maurice Barrymore,
sm321,Paul Bartels,1940
sm322,Eddie Barth,
sm323,Richard Barthelmess,1895
sm324,Freddie Bartholomew,1924
sm325,Eve Bartok,1926
sm326,James Barton,1890
sm327,Richard Basehart,1915
sm328,Tony Basil,
sm329,Count Basie,
sm330,Richard Baskin,
sm331,Alfie Bass,
sm332,Lina Basquette,1907
sm333,Albert Basserman,1867
sm334,Steve Bassett,
sm335,Alexandra Bastedo,1946
sm336,Alan Bates,1934
sm337,Barbara Bates,
sm338,Florence Bates,1888
sm339,Michael Bates,1920
sm340,Belinda Bauer,
sm341,Harry Baur,1880
sm342,Barbara Baxley,
sm343,Anne Baxter,1923
sm344,Jane Baxter,1909
sm345,Warner Baxter,1889
sm346,Sarah Bay,
sm347,Gary Bayer,
sm348,Geoffrey Bayldon,1924
sm349,Emanuelle Beart,1965
sm350,The Beatles,
sm351,Robert Beatty,1909
sm352,Louise Beavers,1902
sm353,John C. Becher,
sm354,Sidney Bechet,1892
sm355,Jenny Beck,1974
sm356,Kimberly Beck,
sm357,Michael Beck,1948
sm358,Stanley Beck,
sm359,Barry Beckerman,
sm360,Scotty Beckett,1929
sm361,Reginald Beckwith,1908
sm362,Don Beddoe,1888
sm363,Alfonso Bedoya,1904
sm364,Molly Bee,
